,file,case,ckappa_manl2cs,ckappa_manbase,ckappa_manl2cs_li,ckappa_manbase_li,ckappa_manl2cs_qua,ckappa_manbase_qua
30,33013_sessie3_robotEngagement3,visible,0.16981132075471694,0.36363636363636365,0.0,0.4,-0.1132075471698113,0.42105263157894735
31,33013_sessie3_taskEngagement1,visible,0.20833333333333337,0.3666666666666667,0.05163511187607561,0.5072046109510087,-0.04130262112787908,0.6274509803921569
32,33013_sessie3_taskrobotEngagement,visible,0.13207547169811318,0.19169329073482422,0.0,0.2247191011235955,-0.05689277899343548,0.24590163934426235
33,Proefpersoon22016_Sessie1,visible,-0.19213973799126638,-0.2666666666666666,-0.21095890410958895,-0.33333333333333326,-0.24,-0.3846153846153846
34,Proefpersoon22016_Sessie2,visible,0.7023086269744836,0.25625,0.6583850931677019,0.34745762711864414,0.61671469740634,0.4226804123711341
35,Proefpersoon22016_Sessie3,visible,-0.05074626865671639,-0.05095541401273884,-0.03937007874015741,-0.06751054852320659,-0.011494252873563093,-0.08060453400503764
36,Proefpersoon22017_Sessie1,visible,0.03409090909090917,0.0,-0.007407407407407307,0.0,-0.017094017094017033,0.0
37,Proefpersoon22017_Sessie2,visible,0.4444444444444444,0.05499999999999994,0.4953271028037384,0.12337662337662358,0.5636363636363637,0.20000000000000007
38,Proefpersoon22017_Sessie3,visible,0.4545454545454546,0.05882352941176472,0.5384615384615384,0.07692307692307687,0.6470588235294117,0.09090909090909094
39,Proefpersoon22018_Sessie1,visible,0.0,-0.07692307692307687,0.0,0.0,0.0,0.023255813953488413
40,Proefpersoon22018_Sessie2,visible,0.125,0.125,0.19999999999999996,0.19999999999999996,0.2857142857142857,0.2857142857142857
41,Proefpersoon22018_Sessie3,visible,0.38235294117647056,0.136986301369863,0.5714285714285714,0.125,0.7439024390243902,0.08080808080808077
42,Proefpersoon22030_Sessie1,visible,0.1694915254237288,0.2921348314606742,0.10954063604240283,0.333889816360601,0.07182320441988965,0.4151898734177215
43,Proefpersoon22030_Sessie2_Poging2,visible,0.11111111111111127,0.0561797752808989,0.17699115044247782,0.09433962264150952,0.23270440251572322,0.1351351351351351
44,Proefpersoon22030_Sessie3,visible,0.0669642857142857,0.057851239669421406,0.08982035928143706,-0.04268292682926833,0.1083032490974728,-0.14000000000000012
