,file,case,ckappa_manl2cs,ckappa_manbase,ckappa_manl2cs_li,ckappa_manbase_li,ckappa_manl2cs_qua,ckappa_manbase_qua
21,33008_sessie1_taskrobotEngagement,visible,0.2239263803680982,-0.03989361702127647,0.12658227848101256,-0.020161290322580516,0.007504690431519578,0.0
22,33008_sessie2_taskrobotEngagement,visible,0.12715517241379315,0.14684014869888462,-0.05499276410998566,0.18967587034813926,-0.23236514522821583,0.2220660576247364
23,33008_sessie3_taskrobotEngagement,visible,0.06896551724137945,0.0625,-0.19047619047619024,-0.0869565217391306,-0.6779661016949154,-0.3291139240506329
24,33010_sessie1_taskrobotEngagement,visible,0.09523809523809523,0.045851528384279416,0.026281208935611033,-0.15469613259668513,-0.0139211136890951,-0.41234221598877974
25,33010_sessie2_taskrobotEngagement,visible,0.453125,0.11262798634812277,0.26136363636363646,0.24444444444444446,0.0357142857142857,0.3589743589743589
26,33010_sessie3_taskrobotEngagement,visible,0.1547536433032617,0.14015748031496056,0.16882067851373184,0.23014256619144613,0.17204301075268813,0.2975778546712803
27,33011_sessie2_robotEngagement1,visible,0.11925601750547032,0.19395770392749245,0.09523809523809523,0.25806451612903225,0.06280373831775699,0.303030303030303
28,33011_sessie2_taskrobotEngagement,visible,0.37174721189591087,0.0625,0.17372881355932202,0.07692307692307687,2.220446049250313e-16,0.08695652173913049
29,33011_sessie3_taskrobotEngagement,visible,0.12779552715654963,0.38235294117647056,0.23481781376518207,0.5010799136069115,0.2937219730941705,0.6007604562737643
30,33013_sessie3_robotEngagement3,visible,0.16981132075471694,0.36363636363636365,0.0,0.4,-0.1132075471698113,0.42105263157894735
31,33013_sessie3_taskEngagement1,visible,0.20833333333333326,0.3666666666666668,0.05163511187607572,0.5072046109510087,-0.0413026211278793,0.6274509803921569
32,33013_sessie3_taskrobotEngagement,visible,0.13207547169811318,0.19169329073482433,0.0,0.2247191011235956,-0.0568927789934357,0.24590163934426235
33,Proefpersoon22016_Sessie1,visible,-0.13361462728551343,-0.2019386106623584,-0.15994130594277323,-0.22261174408413686,-0.22943297279580488,-0.21799746514575435
34,Proefpersoon22016_Sessie2,visible,0.6524008350730689,0.23669923995656883,0.5242857142857142,0.30289855072463767,0.31711409395973145,0.3398470688190315
35,Proefpersoon22016_Sessie3,visible,-0.04600484261501214,-0.04615384615384621,-0.026548672566371723,-0.020408163265306145,0.02752293577981646,0.023809523809523836
36,Proefpersoon22017_Sessie1,visible,0.03797468354430378,0.0,0.03389830508474578,0.0,0.0888888888888889,0.0
37,Proefpersoon22017_Sessie2,visible,0.39583333333333326,0.05255681818181812,0.43825665859564167,0.12945590994371492,0.5213204951856947,0.2179072276159656
38,Proefpersoon22017_Sessie3,visible,0.3055555555555556,0.032258064516129115,0.18181818181818177,0.0,-0.03960396039603942,-0.02941176470588247
39,Proefpersoon22018_Sessie1,visible,0.0,-0.09756097560975618,0.0,0.0,0.0,0.09356725146198819
40,Proefpersoon22018_Sessie2,visible,0.11267605633802813,0.07352941176470584,0.10256410256410264,0.019999999999999907,0.03162055335968372,-0.0652173913043479
41,Proefpersoon22018_Sessie3,visible,0.3191489361702128,0.11111111111111116,0.46308724832214765,0.08280254777070062,0.5555555555555556,0.027027027027026973
42,Proefpersoon22030_Sessie1,visible,0.1355932203389829,0.24843423799582454,0.17142857142857137,0.2710280373831775,0.24840764331210186,0.3186119873817035
43,Proefpersoon22030_Sessie2_Poging2,visible,0.08536585365853655,0.06976744186046513,0.13394919168591224,0.19130434782608696,0.16020671834625333,0.25790754257907544
44,Proefpersoon22030_Sessie3,visible,0.07509881422924891,0.06967984934086613,0.19823788546255494,0.028037383177569986,0.26241134751773065,-0.07438016528925617
